child_dgroup_id,parent_type,parent_id,parent_label,child_name
DG01753,root,Immunological agent,Immunological agent,Colony stimulating factor
DG01754,dgroup,DG01705,Anoretic,Cannabinoid receptor inverse agonist
DG01755,dgroup,DG01705,Anoretic,Benzfetamine
DG01755,dgroup,DG01704,Phenethylamine anorexic,Benzfetamine
DG01757,dgroup,DG01703,Cardiotonic,Amrinone type cardiotonic
DG01757,dgroup,DG01507,Phosphodiesterase III inhibitor,Amrinone type cardiotonic
DG01758,dgroup,DG01703,Cardiotonic,Pimobendan type cardiotonic
DG01758,dgroup,DG01507,Phosphodiesterase III inhibitor,Pimobendan type cardiotonic
DG01759,dgroup,DG01950,Antithrombotic agent,Dicumarol type coumarin derivative
DG01759,dgroup,DG01708,Coumarin anticoagulant,Dicumarol type coumarin derivative
DG01760,dgroup,DG01950,Antithrombotic agent,Warfarin and analog
DG01760,dgroup,DG01708,Coumarin anticoagulant,Warfarin and analog
DG01761,dgroup,DG01950,Antithrombotic agent,Phenindion type coumarin derivative
DG01761,dgroup,DG01708,Coumarin anticoagulant,Phenindion type coumarin derivative
DG01762,root,Gastrointestinal agent,Gastrointestinal agent,Antiemetic
DG01763,root,Gastrointestinal agent,Gastrointestinal agent,Propulsive
DG01770,root,Gastrointestinal agent,Gastrointestinal agent,Laxative
DG01772,dgroup,DG01770,Laxative,Carmellose
DG01774,root,Antibacterial,Antibacterial,First-generation cephalosporin
DG01775,root,Antibacterial,Antibacterial,Second-generation cephalosporin
DG01776,root,Antibacterial,Antibacterial,Third-generation cephalosporin
DG01777,root,Antibacterial,Antibacterial,Fourth-generation cephalosporin
DG01778,root,Antibacterial,Antibacterial,beta-Lactamase sensitive penicillin
DG01779,root,Antibacterial,Antibacterial,beta-Lactamase resistant penicillin
DG01780,root,Antibacterial,Antibacterial,Extended spectrum penicillin
DG01781,dgroup,DG01753,Colony stimulating factor,Granulocyte colony stimulating factor (G-CSF)
DG01782,dgroup,DG01753,Colony stimulating factor,Granulocyte macrophage colony-stimulating factors (GM-CSF)
DG01783,dgroup,DG01762,Antiemetic,Benzamide type antiemetic
DG01784,dgroup,DG01787,Sulfonamide antibacterial,Short-acting sulfonamide
DG01785,dgroup,DG01787,Sulfonamide antibacterial,Intermediate-acting sulfonamide
DG01786,dgroup,DG01787,Sulfonamide antibacterial,Long-acting sulfonamide
DG01787,root,Antibacterial,Antibacterial,Sulfonamide antibacterial
DG01788,dgroup,DG01966,Antitubercular,Thiocarbamide derivative
DG01789,root,Antibacterial,Antibacterial,Oxazolidinone antibiotic
DG01791,dgroup,DG01653,Antiarrhythmics,Hydroquinidine
DG01791,dgroup,DG01652,Class I antiarrhythmic agent,Hydroquinidine
