source_type,source_id,target_type,target_id,field
dgroup,DG00052,drug,D02069,MEMBER
dgroup,DG00052,dgroup,DG01491,CLASS
dgroup,DG00053,drug,D00147,MEMBER
dgroup,DG00053,drug,D00719,MEMBER
dgroup,DG00053,drug,D01648,MEMBER
dgroup,DG00053,drug,D04479,MEMBER
dgroup,DG00053,dgroup,DG01491,CLASS
dgroup,DG00054,drug,D03069,MEMBER
dgroup,DG00054,drug,D03223,MEMBER
dgroup,DG00054,drug,D03224,MEMBER
dgroup,DG00055,drug,D00726,MEMBER
dgroup,DG00055,drug,D02213,MEMBER
dgroup,DG00055,drug,D05008,MEMBER
dgroup,DG00055,dgroup,DG01478,CLASS
dgroup,DG00055,dgroup,DG01474,CLASS
dgroup,DG00055,dgroup,DG01763,CLASS
dgroup,DG00055,dgroup,DG01489,CLASS
dgroup,DG00055,dgroup,DG01762,CLASS
dgroup,DG00055,dgroup,DG01783,CLASS
dgroup,DG00055,dgroup,DG01644,CLASS
dgroup,DG00055,dgroup,DG01645,CLASS
dgroup,DG00056,drug,D00274,MEMBER
dgroup,DG00056,drug,D02092,MEMBER
dgroup,DG00056,dgroup,DG01763,CLASS
dgroup,DG00056,dgroup,DG01633,CLASS
dgroup,DG00057,drug,D01745,MEMBER
dgroup,DG00057,drug,D07868,MEMBER
dgroup,DG00057,dgroup,DG01478,CLASS
dgroup,DG00057,dgroup,DG01474,CLASS
dgroup,DG00057,dgroup,DG01763,CLASS
dgroup,DG00057,dgroup,DG01762,CLASS
dgroup,DG00057,dgroup,DG01633,CLASS
dgroup,DG00057,dgroup,DG02913,CLASS
dgroup,DG00058,drug,D07102,MEMBER
dgroup,DG00058,drug,D07563,MEMBER
dgroup,DG00058,dgroup,DG01478,CLASS
dgroup,DG00058,dgroup,DG01474,CLASS
dgroup,DG00058,dgroup,DG01763,CLASS
dgroup,DG00058,dgroup,DG01762,CLASS
dgroup,DG00058,dgroup,DG01783,CLASS
dgroup,DG00059,drug,D03534,MEMBER
dgroup,DG00059,drug,D01742,MEMBER
dgroup,DG00059,dgroup,DG01478,CLASS
dgroup,DG00059,dgroup,DG01474,CLASS
dgroup,DG00059,dgroup,DG01763,CLASS
dgroup,DG00059,dgroup,DG01762,CLASS
dgroup,DG00059,dgroup,DG01783,CLASS
dgroup,DG00060,drug,D00456,MEMBER
dgroup,DG00060,drug,D00678,MEMBER
dgroup,DG00060,dgroup,DG01489,CLASS
dgroup,DG00060,dgroup,DG01762,CLASS
dgroup,DG00060,dgroup,DG01892,CLASS
dgroup,DG00060,dgroup,DG01644,CLASS
dgroup,DG00060,dgroup,DG01633,CLASS
