entry_id,name,type,class,member_count,member_ids,atc_codes,comment
DG01918,Tyrosine kinase inhibitor,Target,Antineoplastic,196,D08066;D01441;D03658;D06414;D08953;D06413;D12444;D03252;D09728;D09950;D09951;D11403;D11404;D01977;D07907;D04023;D09724;D09733;D10766;D10858;D10859;D11115;D09883;D10514;D11251;D11980;D12245;D12258;D12259;D03455;D05350;D10018;D11894;D12457;D12506;D08108;D04024;D08950;D10898;D11141;D12442;D03257;D05446;D09980;D11529;D11375;D10446;D11560;D03218;D08881;D08883;D09683;D10190;D10927;D11417;D11589;D11611;D11725;D12001;D11969;D08552;D06402;D05380;D06407;D10138;D10137;D10229;D10062;D10095;D09919;D09920;D05029;D09955;D09956;D11137;D11138;D10709;D10800;D10696;D10891;D11279;D11353;D11717;D11073;D06678;D08947;D09689;D09690;D10102;D10103;D08503;D08544;D10224;D10465;D09589;D08878;D11288;D11289;D11430;D11434;D11140;D11541;D11732;D11733;D11772;D11773;D10958;D10886;D12404;D12405;D03350;D04025;D04696;D05399;D05819;D06005;D06285;D08907;D09618;D09635;D09945;D10173;D10862;D11136;D11139;D11368;D11438;D11461;D11737;D12432;D12540;D12557;D09731;D10551;D10542;D10450;D10866;D11012;D11346;D11356;D10223;D10893;D11720;D11422;D11070;D10730;D10731;D11428;D11502;D11478;D12160;D11457;D11873;D12050;D12158;D12213;D12285;D12383;D12467;D12489;D12504;D11768;D08524;D06272;D10481;D10396;D10926;D11713;D11712;D12354;D09347;D09348;D08279;D08344;D10334;D10399;D09664;D09665;D10618;D10619;D09864;D09865;D11676;D11677;D12330;D12331;D12363;D12364;D12526;D12537;D10202;D11209;D11454;D11786;D12476;D12559,,
DG01919,Propylhexedrine,Chemical,,2,D05637;D08444,,
DG01920,Thiosalicylic acid,Chemical,"Anti-inflammatory DG01504  Nonsteroidal anti-inflammatory drug (NSAID) DG01909  Anti-inflammatory drug, salicylic acid derivatives",2,D08586;D00971,,
DG01921,Diethazine,Chemical,,2,D07823;D02603,,
DG01922,Selective COX2 inhibitor,Target,Anti-inflammatory DG01504  Nonsteroidal anti-inflammatory drug (NSAID),18,D00567;D00568;D02709;D03716;D03717;D03710;D03714;D10656;D01974;D03689;D03712;D04863;D08657;D00315;D01866;D00969;D00425;D01547,,
DG01923,Renin inhibitor,Target,Cardiovascular agent DG01925  Renin-angiotensin system inhibitor DG03231  Antihypertensive,7,D09038;D03208;D06412;D03738;D03741;D03743;D03745,,
DG01924,Elobixibat,Chemical,Transporter inhibitor DG01622  ABCB1 inhibitor,2,D10796;D10795,A06AX09,
DG01925,Renin-angiotensin system inhibitor,Class,Cardiovascular agent,102,D00251;D07892;D00621;D08131;D00362;D03753;D00624;D11580;D00421;D03752;D00459;D07499;D00620;D07699;D01069;D07992;D00622;D00383;D08529;D03765;D07781;D01667;D08225;D00623;D08566;D01119;D08688;D03767;D08068;D01549;D01900;D03077;D03440;D03756;D03758;D03760;D03763;D03769;D03772;D03773;D03775;D03776;D06076;D09038;D03208;D06412;D03738;D03741;D03743;D03745;D08146;D00357;D04040;D02082;D00400;D00523;D06010;D00522;D00626;D00627;D05246;D01204;D08864;D08067;D08865;D10556;D01922;D04126;D04243;D05801;D10276;D10277;D10268;D10278;D10279;D10280;D10281;D11581;D10282;D07895;D10283;D09197;D10249;D10480;D09196;D09219;D10284;D10589;D09745;D10285;D09743;D10243;D07569;D10286;D10287;D10288;D10226;D11388;D10805;D09594;D10524;D10525,,
DG01926,Copanlisib,Chemical,Antineoplastic DG03139  PI3K inhibitor Metabolizing enzyme substrate DG01891  CYP1A1 substrate DG01633  CYP3A/CYP3A4 substrate,3,D10867;D10797;D10798,L01EM02,
DG01927,Sultosilic acid,Chemical,,2,D08550;D08551,,
DG01928,Dihydropyridine calcium channel blocker,"Structure, Target",Cardiovascular agent DG03231  Antihypertensive,35,D07450;D00615;D02914;D11881;D00319;D00349;D08270;D00617;D00437;D00438;D00618;D00629;D04657;D01908;D08155;D01553;D07494;D01104;D08111;D01849;D01173;D07509;D02045;D08892;D08941;D01145;D01562;D07886;D01604;D01151;D01933;D03655;D04193;D06060;D09789,C08CA,
DG01929,Imidocarb,Chemical,,2,D08069;D04512,,
DG01930,Dihydrofolate reductase inhibitor,Target,Antineoplastic DG02018  Antimetabolite DG01978  Folic acid analog,7,D00142;D02115;D05589;D06238;D06239;D03942;D02527,,
DG01932,"Antifolate, antiprotozoal Dihydrofolate reductase inhibitor, antiprotozoal","Target, Class",Antiparasitic,5,D08428;D02487;D02387;D00488;D03771,,
DG01933,CYP2C19 inhibitor,Metabolism,Metabolizing enzyme inhibitor,27,D00355;D08903;D11858;D09394;D08594;D01028;D00322;D01429;D01980;D02691;D04112;D00533;D09215;D09612;D05928;D07299;D00326;D00823;D07704;D00822;D07705;D07984;D00824;D02561;D01832;D02312;D10537,,
DG01934,Antithyroid agent,Class,Hormonal agent,7,D07231;D00562;D07519;D07616;D00401;D07232;D08659,,
DG01935,Fluoropyrimidine antineoplastic,Structure,"Antineoplastic DG02018  Antimetabolite DG01958  Nucleic acid derivative, antineoplastic",8,D00584;D07974;D01244;D01784;D01223;D04197;D01309;D12388,,
DG01936,TNF inhibitor,Target,Anti-inflammatory DG01985  Disease modifying anti-rheumatic drug (DMARD),15,D00742;D02598;D07436;D02597;D03441;D04358;D04687;D09813;D04690;D05146;D05263;D05393;D09944;D10187;D10320,L04AB,
DG01937,Anti-cytomegalovirus agent,Class,Antiviral,11,D00333;D04301;D00273;D02495;D03256;D00579;D02267;D04859;D10801;D07989;D02736,,
DG01938,CYP2D6 inducer,Metabolism,Metabolizing enzyme inducer,1,D10003,,
DG01940,Butyrophenone derivative,"Structure, Class",Neuropsychiatric agent DG03200  Antipsychotic agent,26,D00136;D01898;D08035;D02625;D08637;D07309;D08172;D02623;D01105;D02622;D01482;D01101;D02626;D02627;D00308;D02621;D01051;D02035;D02620;D02628;D02651;D02668;D02686;D03921;D05495;D03666,N05AD,
DG01941,Benzamide antipsychotic,"Structure, Class",Neuropsychiatric agent DG03200  Antipsychotic agent,11,D01226;D08549;D02208;D08590;D01522;D02682;D02683;D07310;D07311;D07312;D01468,N05AL,
DG01942,Iminobenzyl antipsychotic,"Structure, Class",Neuropsychiatric agent DG03200  Antipsychotic agent,7,D08235;D01548;D07623;D01449;D02713;D07718;D02371,,
DG01943,"Triptan 5-HT1B/1D-receptor agonist, antimigraine drug","Structure, Target, Class",Analgesic,16,D00451;D00676;D08255;D00674;D00415;D08485;D00675;D05740;D02824;D02825;D07887;D01973;D11617;D07997;D04264;D03014,N02CC,
