entry_id,name,formula,mol_weight,atc_codes,dgroup_id,compound_id,therapeutic_category,efficacy,cas,pubchem,chebi
D02424,Glyprothiazol (INN); IPTD,C11H14N4O2S2,298.3845,,,,,Antidiabetic,80-34-2,7849482,
D02425,Carbutamide (INN); Invenol (TN),C11H17N3O3S,271.336,A10BB06,,,,"Antidiabetic, Hypoglycemic, Sulfonylurea receptor agonist",339-43-5,7849483,
D02426,Glycyclamide (INN); Tolcyclamide,C14H20N2O3S,296.3852,,,,,"Antidiabetic, Hypoglycemic",664-95-9,7849484,
D02427,Glibornuride (USAN/INN); Glutril (TN),C18H26N2O4S,366.475,A10BB04,,,,"Antidiabetic, Hypoglycemic, Sulfonylurea receptor agonist",26944-48-9,7849485,
D02428,Glisentide (INN); Glypentide; Staticum (TN),C22H27N3O5S,445.5319,,,,,"Antidiabetic, Hypoglycemic",32797-92-5,7849486,
D02429,Glisolamide (INN); Glysolamide; Diabenor (TN),C20H26N4O5S,434.5092,,,,,"Antidiabetic, Hypoglycemic",24477-37-0,7849487,
D02430,Gliquidone (INN); Glurenorm (TN),C27H33N3O6S,527.6324,A10BB08,,,,"Antidiabetic, Hypoglycemic, Sulfonylurea receptor agonist",33342-05-1,7849488,
D02431,Gliflumide (USAN),C25H29FN4O4S,500.5856,,,,,"Antidiabetic, Hypoglycemic",35253-24-8,7849489,
D02432,Glicetanile sodium (USAN); Glydanile,C23H24ClN4O4S. Na,510.9688,,,,,"Antidiabetic, Hypoglycemic",24428-71-5,7849490,
D02433,Optochin hydrochloride; Ethylhydrocupreine hydrochloride,C21H28N2O2. HCl,376.9202,,,,,Antibacterial,3413-58-9,7849491,
D02434,Sulfapyridine (USP/INN); Sulfapyridine (TN),C11H11N3O2S,249.2889,J01EB04,,,,"Antibacterial, Folic acid biosynthesis inhibitor",144-83-2,7849492,132842
D02435,Sulfamerazine (INN),C11H12N4O2S,264.3036,D06BA06 J01ED07,,,,"Antibacterial, Folic acid biosynthesis inhibitor",127-79-7,7849493,102130
