gene_symbol,ko_id,variant_entry_count,variant_phenotypes,linked_disease_count,linked_disease_names,linked_drug_target_count,linked_drug_target_names,linked_network_count
IL10RA,K05134,1,IL10RA mutation,1,Inflammatory bowel disease (IBD),0,,0
IL10RB,K05135,1,IL10RB mutation,1,Inflammatory bowel disease (IBD),0,,0
IL12B,K05425,1,IL12B mutation,1,IFN-gamma/IL-12 axis,0,,0
IL12RB1,K05063,1,IL12RB1 mutation,1,IFN-gamma/IL-12 axis,0,,0
IL23R,K05065,1,IL23R mutation,1,Inflammatory bowel disease (IBD),0,,0
IL2RB,K05069,1,IL2RB mutation,1,Disorders of innate immunity,0,,0
IL6R,K05055,1,IL6R mutation,1,Hyper-IgE syndrome,0,,0
IL6ST,K05060,1,IL6ST mutation,1,Hyper-IgE syndrome,0,,0
IL7R,K05072,1,IL7R mutation,1,T-B+Severe combined immunodeficiency,0,,0
IRAK4,K04733,1,IRAK4 mutation,1,Defects of toll-like receptor signaling,0,,0
IRF3,K05411,1,IRF3 mutation,1,Infection-induced acute encephalopathy,0,,0
IRF5,K09446,1,IRF5 mutation,1,Systemic lupus erythematosus,0,,0
IRF7,K09447,1,IRF7 mutation,1,Defects of toll-like receptor signaling,0,,0
IRF9,K04693,1,IRF9 mutation,1,Disorders of innate immunity,0,,0
IRGM,K14139,1,IRGM mutation,1,Inflammatory bowel disease (IBD),0,,0
IVD,K00253,1,IVD deficiency,1,Isovaleric acidemia,0,,0
IYD,K17231,1,IYD mutation,1,Thyroid dyshormonogenesis,0,,0
JAK1,K11217,1,JAK1 mutation,1,"Autoinflammation, immune dysregulation, and eosinophilia",0,,0
JAK3,K11218,1,JAK3 mutation,1,T-B+Severe combined immunodeficiency,0,,0
KCNC3,K04889,1,KCNC3 mutation,1,Spinocerebellar ataxia (SCA),0,,0
KCND3,K04893,1,KCND3 mutation,1,Spinocerebellar ataxia (SCA),0,,0
KCNJ5,K04999,1,KCNJ5 mutation,1,Primary aldosteronism,0,,0
KEAP1,K10456,1,KEAP1 mutation,1,Hepatocellular carcinoma,0,,0
KIF2A,K10393,1,KIF2A mutation,1,Complex cortical dysplasia with other brain malformations,0,,0
KIF4A,K10395,1,KIF4A mutation,1,X-linked intellectual developmental disorder,0,,0
KISS1,K23140,1,KISS1 mutation,1,Hypogonadotropic hypogonadism,0,,0
KIT,K05091,1,KIT kinase domain mutation,1,Acute myeloid leukemia,2,Avapritinib (USAN/INN); Tuspetinib (USAN/INN),0
KLKB1,K01324,1,KLKB1 mutation,1,Fletcher factor deficiency,0,,0
KNG1,K03898,1,KNG1 mutation,1,Hereditary angioedema,0,,0
KNL1,K11542,1,KNL1 mutation,1,Primary microcephaly,0,,0
KNSTRN,K26097,1,KNSTRN mutation,1,Roifman-Chitayat syndrome,0,,0
LBR,K19532,1,LBR deficiency,1,HEM skeletal dysplasia,0,,0
LDHA,K00016,1,LDHA deficiency,1,Glycogen storage disease type XI,0,,0
LDLR,K12473,1,LDLR mutation,1,Familial hypercholesterolemia,0,,0
LDLRAP1,K12474,1,LDLRAP1 mutation,1,Familial autosomal recessive hypercholesterolemia,0,,0
LFNG,K05948,1,LFNG mutation,1,Spondylocostal dysostosis,0,,0
LGR4,K04309,1,LGR4 mutation,1,Osteoporosis,0,,0
LHCGR,K04248,1,LHCGR mutation,1,Precocious puberty,0,,0
LIG1,K10747,1,LIG1 mutation,1,Immunodeficiency associated with DNA repair defects,0,,0
LIG3,K10776,1,LIG3 mutation,1,Mitochondrial neurogastrointestinal encephalomyopathy,0,,0
LIG4,K10777,1,LIG4 mutation,1,LIG4 syndrome,0,,0
LMO2,K15612,1,LMO2 rearrangement,1,T-cell acute lymphoblastic leukemia,0,,0
LRP2,K06233,1,LRP2 mutation,1,Donnai-Barrow syndrome,0,,0
LRRK2,K08844,1,LRRK2 mutation,1,Parkinson disease,0,,0
LSS,K01852,1,LSS deficiency,1,Alopecia-mental retardation syndrome,0,,0
LZTR1,K23330,1,LZTR1 mutation,1,Noonan syndrome,0,,0
MAD1L1,K06679,1,MAD1L1 mutation,1,Prostate cancer,0,,0
MAD2L2,K13728,1,MAD2L2 mutation,1,Fanconi anemia,0,,0
MAF,K09035,1,IGH-MAF fusion,1,Multiple myeloma,0,,0
MAOA,K00274,1,MAOA deficiency,1,Brunner syndrome,0,,0
MAP2K2,K04369,1,MAP2K2 mutation,1,Cardiofaciocutaneous syndrome,0,,0
MAP3K20,K04424,1,MAP3K20 mutation,1,Split-hand/foot malformation,0,,0
MAPK1,K04371,1,MAPK1 mutation,1,Noonan syndrome,0,,0
MASP1,K03992,1,MASP1 mutation,1,3MC syndrome,0,,0
MASP2,K03993,1,MASP2 mutation,1,Mannose-binding lectin pathway component defects,0,,0
MAX,K04453,1,MAX mutation,1,Malignant paraganglioma,0,,0
MBD4,K10801,1,MBD4 mutation,1,Tumor predisposition syndrome,0,,0
MBL2,K03991,1,MBL2 mutation,1,Mannose-binding lectin pathway component defects,0,,0
MC2R,K04200,1,MC2R mutation,1,Familial glucocorticoid deficiency,0,,0
MCCC1,K01968,1,MCCC1 deficiency,1,3-Methylcrotonylglycinuria,0,,0
MCCC2,K01969,1,MCCC2 deficiency,1,3-Methylcrotonylglycinuria,0,,0
MCEE,K05606,1,MCEE deficiency,1,Methylmalonic aciduria,0,,0
MCIDAS,K26119,1,MCIDAS mutation,1,Primary ciliary dyskinesia,0,,0
MCM10,K10736,1,MCM10 mutation,1,Disorders of innate immunity,0,,0
MCM2,K02540,1,MCM2 mutation,1,"Deafness, autosomal dominant",0,,0
MCM4,K02212,1,MCM4 mutation,1,Immunodeficiency associated with DNA repair defects,0,,0
MCM5,K02209,1,MCM5 mutation,1,Meier-Gorlin syndrome,0,,0
MCM8,K10737,1,MCM8 mutation,1,Premature ovarian failure,0,,0
MCM9,K10738,1,MCM9 mutation,1,Ovarian dysgenesis,0,,0
MCPH1,K19403,1,MCPH1 mutation,1,Primary microcephaly,0,,0
MDM2,K06643,1,MDM2 amplification,1,Glioma,0,,0
MECOM,K04462,1,EVI1 overexpression,1,Chronic myeloid leukemia,0,,0
MESP2,K09076,1,MESP2 mutation,1,Spondylocostal dysostosis,0,,0
MGAT2,K00736,1,MGAT2 deficiency,1,Congenital disorders of glycosylation type II,0,,0
MIB1,K10645,1,MIB1 mutation,1,Left ventricular noncompaction,0,,0
MLH3,K08739,1,MLH3 mutation,1,Hereditary nonpolyposis colorectal cancer,0,,0
MLLT1,K15187,1,MLL-ENL fusion,1,T-cell acute lymphoblastic leukemia,0,,0
MMUT,K01847,1,MMUT deficiency,1,Methylmalonic aciduria,0,,0
MOCOS,K15631,1,MOCOS deficiency,1,Xanthinuria,0,,0
MOCS1,K20967,1,MOCS1 deficiency,1,Molybdenum cofactor deficiency,2,Fosdenopterin (USAN); Fosdenopterin hydrobromide (USAN),0
MOCS2,K03635,1,MOCS2 deficiency,1,Molybdenum cofactor deficiency,0,,0
MOGS,K01228,1,MOGS deficiency,1,Congenital disorders of glycosylation type II,0,,0
MPI,K01809,1,MPI deficiency,1,Congenital disorders of glycosylation type I,0,,0
MRAP,K22398,1,MRAP mutation,1,Familial glucocorticoid deficiency,0,,0
MRAS,K07831,1,MRAS mutation,1,Noonan syndrome,0,,0
MRE11,K10865,1,MRE11 mutation,1,Ataxia-telangiectasia-like syndrome,0,,0
MSH3,K08736,1,MSH3 mutation,1,Familial adenomatous polyposis,0,,0
MSH6,K08737,1,MSH6 mutation,1,Hereditary nonpolyposis colorectal cancer,0,,0
MSMO1,K07750,1,MSMO1 deficiency,1,Microcephaly syndrome,0,,0
MSTN,K05497,1,MSTN mutation,1,Muscle hypertrophy,0,,0
MVD,K01597,1,MVD deficiency,1,Porokeratosis,0,,0
MYC,K04377,1,MYC amplification,1,Small cell lung cancer,0,,0
MYCN,K09109,1,MYCN amplification,1,Neuroblastoma,0,,0
NAGLU,K01205,1,NAGLU deficiency,1,Mucopolysaccharidosis type III,1,Lesinidase alfa (USAN/INN),0
NCAPD2,K06677,1,NCAPD2 mutation,1,Primary microcephaly,0,,0
NCAPD3,K11491,1,NCAPD3 mutation,1,Primary microcephaly,0,,0
NCAPG2,K11492,1,NCAPG2 mutation,1,Neurodevelopmental disorder with microcephaly,0,,0
NCAPH,K06676,1,NCAPH mutation,1,Primary microcephaly,0,,0
NCSTN,K06171,1,NCSTN mutation,1,Acne inversa,0,,0
NDST1,K02576,1,NDST1 mutation,1,Autosomal recessive intellectual developmental disorder,0,,0
NFE2L2,K05638,1,NFE2L2 mutation,1,Hepatocellular carcinoma,0,,0
NHEJ1,K10980,1,XLF mutation,1,"Severe combined immunodeficiency with microcephaly, growth retardation, and sensitivity to ionizing radiation",0,,0
NHP2,K11129,1,NHP2 mutation,1,Dyskeratosis congenita,0,,0
NIPBL,K06672,1,NIPBL mutation,1,Cornelia de Lange syndrome,0,,0
NKX3-1,K09348,1,NKX3-1 loss,1,Prostate cancer,0,,0
NLRP12,K20865,1,NLRP12 mutation,1,Familial cold autoinflammatory syndrome,0,,0
NODAL,K04666,1,NODAL mutation,1,Heterotaxy,0,,0
NOP10,K11130,1,NOP10 mutation,1,Dyskeratosis congenita,0,,0
NOTCH4,K20996,1,NOTCH4 overexpression,1,Breast cancer,0,,0
NPRL2,K20405,1,NPRL2 mutation,1,Familial focal epilepsy with variable foci,0,,0
NPRL3,K20406,1,NPRL3 mutation,1,Familial focal epilepsy with variable foci,0,,0
NR0B1,K08562,1,NROB1 mutation,1,"Adrenal hypoplasia, congenital",0,,0
NR3C1,K05771,1,NR3C1 mutation,1,Glucocorticoid resistance syndrome,0,,0
NR4A3,K08559,1,EWSR1-NR4A3 fusion,1,Extraskeletal myxoid chondrosarcoma,0,,0
NR5A1,K08560,1,NR5A1 mutation,1,"Adrenal insufficiency, NR5A1 related",0,,0
NSD2,K11424,1,IGH-MMSET fusion,1,Multiple myeloma,0,,0
NTHL1,K10773,1,NTH mutation,1,Familial adenomatous polyposis,0,,0
NTRK1,K03176,1,TRK fusion,1,Thyroid cancer,1,Entrectinib (JAN/USAN/INN),0
NUS1,K19177,1,NUS1 deficiency,1,Congenital disorders of glycosylation type I,0,,0
NXN,K17609,1,NXN mutation,1,Robinow syndrome,0,,0
OAT,K00819,1,OAT deficiency,1,Ornithinaemia,0,,0
OGDH,K00164,1,OGDH deficiency,1,Alpha-ketoglutarate dehydrogenase complex deficiency,0,,0
OGDHL,K00164,1,OGDHL mutation,1,Yoon-Bellen neurodevelopmental syndrome,0,,0
OGG1,K03660,1,OGG1 mutation,1,Renal cell carcinoma,0,,0
OPLAH,K01469,1,OPLAH deficiency,1,5-Oxoprolinase deficiency,0,,0
OPTN,K19946,1,OPTN mutation,1,Amyotrophic lateral sclerosis (ALS),0,,0
ORC1,K02603,1,ORC1 mutation,1,Meier-Gorlin syndrome,0,,0
ORC4,K02606,1,ORC4 mutation,1,Meier-Gorlin syndrome,0,,0
ORC6,K02608,1,ORC6 mutation,1,Meier-Gorlin syndrome,0,,0
OTC,K00611,1,OTC deficiency,1,Ornithine transcarbamylase deficiency,0,,0
OTULIN,K18343,1,OTULIN mutation,1,"Autoinflammation, panniculitis, and dermatosis syndrome",0,,0
PAFAH1B1,K16794,1,PAFAH1B1 mutation,1,Lissencephaly,0,,0
PAH,K00500,1,PAH deficiency,1,Phenylketonuria,1,Pegvaliase (INN),0
PARK7,K05687,1,PARK7 mutation,1,Parkinson disease,0,,0
PBX1,K09355,1,E2A-PBX1 fusion,1,B-cell acute lymphoblastic leukemia,0,,0
PC,K01958,1,PC deficiency,1,Pyruvate carboxylase deficiency,0,,0
PCBD1,K01724,1,PCBD1 deficiency,1,Phenylketonuria,0,,0
PCCA,K01965,1,PCCA deficiency,1,Propionic acidemia,0,,0
PCCB,K01966,1,PCCB deficiency,1,Propionic acidemia,0,,0
PCK1,K01596,1,PCK1 deficiency,1,Phosphoenolpyruvate carboxykinase deficiency,0,,0
PCNA,K04802,1,PCNA mutation,1,Ataxia-telangiectasia-like syndrome,0,,0
PCSK9,K13050,1,PCSK9 mutation,1,Familial hypercholesterolemia,0,,0
PDGFA,K04359,1,PDGFA overexpression,1,Glioma,0,,0
PDGFB,K17386,1,PDGFB overexpression,1,Glioma,0,,0
PDHA1,K00161,1,PDHA1 deficiency,1,Pyruvate dehydrogenase E1-alpha deficiency,0,,0
PDHB,K00162,1,PDHB deficiency,1,Pyruvate dehydrogenase E1-beta deficiency,0,,0
PDYN,K15840,1,PDYN mutation,1,Spinocerebellar ataxia (SCA),0,,0
PFKM,K00850,1,PFKM deficiency,1,Glycogen storage disease type VII,0,,0
PFN1,K05759,1,PFN1 mutation,1,Amyotrophic lateral sclerosis (ALS),0,,0
PGAM2,K01834,1,PGAM2 deficiency,1,Glycogen storage disease type X,0,,0
PGAP1,K05294,1,PGAP1 deficiency,1,Autosomal recessive mental retardation-42,0,,0
PGM1,K01835,1,PGM1 deficiency,1,Congenital disorders of glycosylation type I,0,,0
PIGA,K03857,1,PIGA deficiency,1,Multiple congenital anomalies-hypotonia-seizures syndrome,0,,0
PIGB,K05286,1,PIGB deficiency,1,Inherited glycosylphosphatidylinositol deficiencies,0,,0
PIGC,K03859,1,PIGC deficiency,1,Inherited glycosylphosphatidylinositol deficiencies,0,,0
PIGG,K05310,1,PIGG deficiency,1,Inherited glycosylphosphatidylinositol deficiencies,0,,0
PIGH,K03858,1,PIGH deficiency,1,Inherited glycosylphosphatidylinositol deficiencies,0,,0
PIGK,K05290,1,PIGK deficiency,1,Inherited glycosylphosphatidylinositol deficiencies,0,,0
PIGL,K03434,1,PIGL deficiency,1,CHIME syndrome,0,,0
PIGM,K05284,1,PIGM deficiency,1,PIGM-congenital disorder of glycosylation,0,,0
PIGN,K05285,1,PIGN deficiency,1,Multiple congenital anomalies-hypotonia-seizures syndrome,0,,0
PIGO,K05288,1,PIGO deficiency,1,Hyperphosphatasia with mental retardation syndrome,0,,0
PIGP,K03861,1,PIGP deficiency,1,Inherited glycosylphosphatidylinositol deficiencies,0,,0
PIGQ,K03860,1,PIGQ deficiency,1,Multiple congenital anomalies-hypotonia-seizures syndrome,0,,0
PIGS,K05291,1,PIGS deficiency,1,Inherited glycosylphosphatidylinositol deficiencies,0,,0
PIGT,K05292,1,PIGT deficiency,1,Multiple congenital anomalies-hypotonia-seizures syndrome,0,,0
PIGU,K05293,1,PIGU deficiency,1,Inherited glycosylphosphatidylinositol deficiencies,0,,0
PIGV,K07542,1,PIGV deficiency,1,Hyperphosphatasia with mental retardation syndrome,0,,0
PIGW,K05283,1,PIGW deficiency,1,Hyperphosphatasia with mental retardation syndrome,0,,0
PIGY,K11001,1,PIGY deficiency,1,Hyperphosphatasia with mental retardation syndrome,0,,0
PIK3C2A,K00923,1,PIK3C2A mutation,1,Oculoskeletodental syndrome,0,,0
PINK1,K05688,1,PINK1 mutation,1,Parkinson disease,0,,0
PKLR,K12406,1,PKLR deficiency,1,Pyruvate kinase deficiency,0,,0
PML,K10054,1,PML-RARA fusion,1,Acute myeloid leukemia,0,,0
PMM2,K17497,1,PMM2 deficiency,1,Congenital disorders of glycosylation type I,0,,0
PMS2,K10858,1,PMS2 mutation,1,Hereditary nonpolyposis colorectal cancer,0,,0
PMVK,K13273,1,PMVK deficiency,1,Porokeratosis,0,,0
PNKP,K08073,1,PNKP mutation,1,Ataxia with ocular apraxia,0,,0
POLH,K03509,1,POLH mutation,1,Xeroderma pigmentosum,0,,0
POLR2A,K03006,1,POLR2A mutation,1,Neurodevelopmental disorder with hypotonia and variable intellectual and behavioral abnormalities,0,,0
POMGNT1,K09666,1,POMGNT1 deficiency,1,Muscular dystrophy-dystroglycanopathy,0,,0
POMGNT2,K18207,1,POMGNT2 deficiency,1,Muscular dystrophy-dystroglycanopathy type A,0,,0
POMT1,K00728,1,POMT1 deficiency,1,Muscular dystrophy-dystroglycanopathy,0,,0
POMT2,K00728,1,POMT2 deficiency,1,Muscular dystrophy-dystroglycanopathy,0,,0
PORCN,K00181,1,PORCN mutation,1,Focal dermal hypoplasia,0,,0
PPOX,K00231,1,PPOX deficiency,1,Porphyria,0,,0
PPP1CB,K06269,1,PPP1CB mutation,1,Noonan-like syndrome with loose anagen hair,0,,0
PPP2CA,K04382,1,PPP2CA mutation,1,PP2A-related neurodevelopmental disorder,0,,0
PRIM1,K02684,1,PRIM1 mutation,1,Primordial dwarfism-immunodeficiency-lipodystrophy syndrome,0,,0
PRKDC,K06642,1,DNAPKc mutation,1,T-B-Severe combined immunodeficiency,0,,0
PRKN,K04556,1,PRKN mutation,1,Parkinson disease,0,,0
PRLR,K05081,1,PRLR mutation,1,Hyperprolactinemia,0,,0
PROC,K01344,1,PROC mutation,1,Inherited thrombophilia,0,,0
PRODH,K00318,1,PRODH deficiency,1,Hyperprolinemia,0,,0
PROK2,K24191,1,PROK2 mutation,1,Hypogonadotropic hypogonadism,0,,0
PROKR2,K08380,1,PROKR2 mutations,1,Hypogonadotropic hypogonadism,0,,0
PROS1,K03908,1,PROS1 mutation,1,Inherited thrombophilia,0,,0
PSEN2,K04522,1,PSEN2 mutation,1,Alzheimer disease,0,,0
PSENEN,K06170,1,PSENEN mutation,1,Acne inversa,0,,0
PSPH,K01079,1,PSPH deficiency,1,Phosphoserine phosphatase deficiency,0,,0
PSTPIP1,K12804,1,PSTPIP1 mutation,1,"Pyogenic sterile arthritis, pyoderma gangrenosum, and acne syndrome",0,,0
PTCH2,K11101,1,PTCH2 mutation,1,Basal cell nevus syndrome,0,,0
PTH,K05261,1,PTH mutation,1,Hypoparathyroidism,0,,0
PTS,K01737,1,PTS deficiency,1,Phenylketonuria,0,,0
PYGL,K00688,1,PYGL deficiency,1,Glycogen storage disease type VI,0,,0
PYGM,K00688,1,PYGM deficiency,1,Glycogen storage disease type V,0,,0
QDPR,K00357,1,QDPR deficiency,1,Phenylketonuria,0,,0
RAD21,K06670,1,RAD21 mutation,1,Cornelia de Lange syndrome,0,,0
RAD50,K10866,1,RAD50 mutation,1,Nijmegen breakage syndrome,0,,0
RAD51D,K10871,1,RAD51D mutation,1,Familial breast-ovarian cancer,0,,0
RAD54B,K10877,1,RAD54B mutation,1,Non-Hodgkin lymphoma,0,,0
RASSF1,K09850,1,RASSF1 loss,1,Non-small cell lung cancer,0,,0
RBBP8,K20773,1,CtIP mutation,1,Seckel syndrome,0,,0
RBCK1,K10630,1,RBCK1 mutation,1,Polyglucosan body myopathy,0,,0
RBPJ,K06053,1,RBPJ mutation,1,Adams-Oliver syndrome,0,,0
REL,K09254,1,REL amplification,1,Hodgkin lymphoma,0,,0
RELA,K04735,1,RELA mutation,1,Chronic mucocutaneous ulceration,0,,0
RFC1,K10754,1,RFC1 mutation,1,"Cerebellar ataxia, neuropathy, and vestibular areflexia syndrome",0,,0
RFT1,K06316,1,RFT1 mutation,1,Congenital disorders of glycosylation type I,0,,0
RFWD3,K15691,1,RFWD3 mutation,1,Fanconi anemia,0,,0
RIGI,K12646,1,RIGI mutation,1,Singleton-Merten syndrome,0,,0
RIPPLY2,,1,RIPPLY2 mutation,1,Spondylocostal dysostosis,0,,0
RIT1,K07832,1,RIT1 mutation,1,Noonan syndrome,0,,0
RNASEH2A,K10743,1,RNASEH2A mutation,1,Aicardi-Goutieres syndrome,0,,0
RNASEH2B,K10744,1,RNASEH2B mutation,1,Aicardi-Goutieres syndrome,0,,0
RNASEH2C,K10745,1,RNASEH2C mutation,1,Aicardi-Goutieres syndrome,0,,0
RNF125,K12170,1,RNF125 mutation,1,Tenorio syndrome,0,,0
RNF168,K20779,1,RNF168 mutation,1,RIDDLE syndrome,0,,0
RPA1,K07466,1,RPA1 mutation,1,"Pulmonary fibrosis and/or bone marrow failure, telomere-related",0,,0
RPS6KA3,K04373,1,RPS6KA3 mutation,1,Coffin-Lowry syndrome,0,,0
RRAS2,K07830,1,RRAS2 mutation,1,Noonan syndrome,0,,0
RSPO2,K23097,1,RSPO2 mutation,1,Tetra-amelia syndrome,0,,0
RSPO4,K23099,1,RSPO4 mutation,1,Nonsyndromic congenital nail disorder,0,,0
RXYLT1,K21052,1,TMEM5 deficiency,1,Muscular dystrophy-dystroglycanopathy type A,0,,0
SC5D,K00227,1,SC5D deficiency,1,Lathosterolosis,0,,0
SCP2,K08764,1,SCP2 deficiency,1,Leukoencephalopathy with dystonia and motor neuropathy,0,,0
SDHA,K00234,1,SDHA deficiency,1,Mitochondrial complex II deficiency,0,,0
SDHB,K00235,1,SDHB deficiency,1,Mitochondrial complex II deficiency,0,,0
SDHD,K00237,1,SDHD deficiency,1,Mitochondrial complex II deficiency,0,,0
SERPINA6,K04525,1,SERPINA6 mutation,1,Corticosteroid-binding globulin (CBG) deficiency,0,,0
SERPIND1,K03912,1,SERPIND1 mutation,1,Inherited thrombophilia,0,,0
SERPINE1,K03982,1,SERPINE1 mutation,1,Plasminogen activator inhibitor type 1 deficiency,0,,0
SERPINF2,K03983,1,SERPINF2 mutation,1,Alpha-2-plasmin inhibitor (a2-PI) deficiency,0,,0
SFRP4,K02185,1,SFRP4 mutation,1,Metaphyseal dysplasias,0,,0
SGO1,K11580,1,SGO1 mutation,1,Chronic atrial and intestinal dysrhythmia,0,,0
SGSH,K01565,1,SGSH deficiency,1,Mucopolysaccharidosis type III,0,,0
SHOC2,K19613,1,SHOC2 mutation,1,Noonan-like syndrome with loose anagen hair,0,,0
SIGMAR1,K20719,1,SIGMAR1 mutation,1,Amyotrophic lateral sclerosis (ALS),0,,0
SLC16A2,K08231,1,SLC16A2 mutation,1,Allan-Herndon-Dudley syndrome,0,,0
SLC22A5,K08202,1,SLC22A5 mutation,1,Systemic primary carnitine deficiency,0,,0
SLC25A20,K15109,1,SLC25A20 mutation,1,Carnitine-acylcarnitine translocase deficiency,0,,0
SLC26A4,K14702,1,SLC26A4 mutation,1,Thyroid dyshormonogenesis,0,,0
SLC2A2,K07593,1,SLC2A2 mutation,1,Fanconi-Bickel syndrome,0,,0
SLC35A1,K15272,1,SLC35A1 mutation,1,Congenital disorders of glycosylation type II,0,,0
SLC35A2,K15272,1,SLC35A2 mutation,1,Congenital disorders of glycosylation type II,0,,0
SLC35C1,K15279,1,SLC35C1 mutation,1,Congenital disorders of glycosylation type II,0,,0
SLC37A4,K08171,1,SLC37A4 mutation,1,Glycogen storage disease type I,0,,0
SLC39A14,K14720,1,SLC39A14 mutation,1,Hypermanganesemia with dystonia,0,,0
SLC40A1,K14685,1,SLC40A1 mutation,1,Hemochromatosis,0,,0
SLC5A5,K14385,1,SLC5A5 mutation,1,Thyroid dyshormonogenesis,0,,0
SLC6A8,K05041,1,SLC6A8 deficiency,1,Cerebral creatine deficiency syndrome,0,,0
SLX4,K10484,1,SLX4 mutation,1,Fanconi anemia,0,,0
SMAD3,K23605,1,SMAD3 mutation,1,Loeys-Dietz syndrome,0,,0
SMAD9,K16791,1,SMAD9 mutation,1,Primary pulmonary hypertension,0,,0
SMC3,K06669,1,SMC3 mutation,1,Cornelia de Lange syndrome,0,,0
SMO,K06226,1,SMO mutation,1,Basal cell carcinoma,0,,0
SMPD1,K12350,1,SMPD1 deficiency,1,Niemann-Pick disease type A/B,1,Olipudase alfa (USAN/INN),0
SMS,K00802,1,SMS deficiency,1,Snyder-Robinson syndrome,0,,0
SNCA,K04528,1,SNCA mutation,1,Parkinson disease,0,,0
SOD1,K04565,1,SOD1 mutation,1,Amyotrophic lateral sclerosis (ALS),0,,0
SOS2,K03099,1,SOS2 mutation,1,Noonan syndrome,0,,0
SPR,K00072,1,SPR deficiency,1,Sepiapterin reductase deficiency,0,,0
SPRED1,K04703,1,SPRED1 mutation,1,Legius syndrome,0,,0
SPTBN2,K23932,1,SPTBN2 mutation,1,Spinocerebellar ataxia (SCA),0,,0
SQSTM1,K14381,1,SQSTM1 mutation,1,Amyotrophic lateral sclerosis (ALS),0,,0
SRD5A2,K12344,1,SRD5A2 deficiency,1,"46,XY disorder of sex development due to testosterone secretion defect",0,,0
SRD5A3,K12345,1,SRD5A3 deficiency,1,Congenital disorders of glycosylation type I,0,,0
SS18,K15623,1,SYT-SSX fusion,1,Synovial sarcoma,0,,0
SSX1,K15624,1,SYT-SSX1 fusion,1,Synovial sarcoma,0,,0
SSX2,K15625,1,SYT-SSX2 fusion,1,Synovial sarcoma,0,,0
STAG1,K06671,1,STAG1 mutation,1,Autosomal dominant intellectual developmental disorder,0,,0
STAT5B,K11224,1,STAT5B mutation,1,Growth hormone insensitivity with immunodeficiency,0,,0
STEAP3,K10142,1,STEAP3 mutation,1,Hypochromic microcytic anemia,0,,0
STING1,K12654,1,STING1 mutation,1,STING-associated vasculopathy with onset in infancy,0,,0
STK11,K07298,1,STK11 mutation,1,Peutz-Jeghers syndrome,0,,0
STN1,K23312,1,STN1 mutation,1,Coats plus syndrome,0,,0
STRADA,K08271,1,STRADA mutation,1,"Polyhydramnios, megalencephaly, and symptomatic epilepsy",0,,0
STT3A,K07151,1,STT3A deficiency,1,Congenital disorders of glycosylation type I,0,,0
STT3B,K07151,1,STT3B deficiency,1,Congenital disorders of glycosylation type I,0,,0
TAC3,K05240,1,TAC3 mutation,1,Hypogonadotropic hypogonadism,0,,0
TACR3,K04224,1,TACR3 mutation,1,Hypogonadotropic hypogonadism,0,,0
TARDBP,K23600,1,TARDBP mutation,1,Amyotrophic lateral sclerosis (ALS),0,,0
TAT,K00815,1,TAT deficiency,1,Tyrosinemia,0,,0
TBC1D7,K20396,1,TBC1D7 mutation,1,Autosomal recessive macrocephaly/megalencephaly syndrome,0,,0
TBX6,K10180,1,TBX6 mutation,1,Spondylocostal dysostosis,0,,0
TCF3,K09063,1,E2A-PBX1 fusion,1,B-cell acute lymphoblastic leukemia,0,,0
TDP1,K10862,1,TDP1 mutation,1,Autosomal recessive spinocerebellar ataxias with axonal neuropathy,0,,0
TF,K14736,1,TF mutation,1,Atransferrinemia,0,,0
TFR2,K23910,1,TFR2 mutation,1,Hemochromatosis,0,,0
TG,K10809,1,TG mutation,1,Thyroid dyshormonogenesis,0,,0
TGFB1,K13375,1,TGFB1 mutation,1,Camurati-Engelmann disease,0,,0
TGFB2,K13376,1,TGFB2 mutation,1,Loeys-Dietz syndrome,0,,0
TGFB3,K13377,1,TGFB3 mutation,1,Loeys-Dietz syndrome,0,,0
TH,K00501,1,TH deficiency,1,Dopa-responsive dystonia,0,,0
THBD,K03907,1,THBD mutation,1,Inherited thrombophilia,0,,0
THPO,K06854,1,THPO mutation,1,Essential thrombocythemia,0,,0
THRA,K05547,1,THRA mutation,1,Congenital nongoitrous hypothyroidism (CHNG),0,,0
THRB,K08362,1,THRB mutation,1,Thyroid hormone resistance syndrome,0,,0
TICAM1,K05842,1,TICAM1 mutation,1,Infection-induced acute encephalopathy,0,,0
TINF2,K11112,1,TINF2 mutation,1,Dyskeratosis congenita,0,,0
TIRAP,K05403,1,TIRAP mutation,1,Tuberculosis,0,,0
TLR1,K05398,1,TLR1 mutation,1,Leprosy,0,,0
TLR3,K05401,1,TLR3 mutation,1,Infection-induced acute encephalopathy,0,,0
TLR4,K10160,1,TLR4 mutation,1,Age-related macular degeneration,0,,0
TLX1,K09340,1,TLX1 rearrangemnet,1,T-cell acute lymphoblastic leukemia,0,,0
TNFAIP3,K11859,1,TNFAIP3 mutation,1,Familial Behcet-like autoinflammatory syndrome,0,,0
TNFRSF10B,K04722,1,TNFRSF10B mutation,1,Head and neck squamous cell carcinoma,0,,0
TPO,K00431,1,TPO mutation,1,Thyroid dyshormonogenesis,0,,0
TRAF3,K03174,1,TRAF3 mutation,1,Infection-induced acute encephalopathy,0,,0
TRAIP,K11985,1,TRAIP mutation,1,Seckel syndrome,0,,0
TRHR,K04282,1,TRHR mutation,1,Congenital nongoitrous hypothyroidism (CHNG),0,,0
