gene_symbol,ko_id,variant_entry_count,variant_phenotypes,linked_disease_count,linked_disease_names,linked_drug_target_count,linked_drug_target_names,linked_network_count
SMAD4,K04501,1,SMAD4 mutation,3,Hereditary hemorrhagic telangiectasia; Juvenile polyposis syndrome; Myhre syndrome,0,,0
TERC,K22183,1,TERC mutation,3,"Dyskeratosis congenita; Aplastic anemia; Pulmonary fibrosis and/or bone marrow failure, telomere-related",0,,0
WNT10A,K01357,1,WNT10A mutation,3,Tooth agenesis; Odontoonychodermal dysplasia; Schopf-Schulz-Passarge syndrome,0,,0
CDH1,K05689,4,CDH1 loss; CDH1 mutation; CDH1 reduced expression,2,Gastric cancer; Thyroid cancer,0,,0
HRAS,K02833,3,HRAS mutation; HRAS overexpression,2,Bladder cancer; Costello syndrome,0,,0
AMACR,K01796,2,AMACR deficiency,2,Congenital bile acid synthesis defect; Alpha-methylacyl-CoA racemase deficiency,0,,0
CDK4,K02089,2,CDK4 amplification; CDK4 mutation,2,Melanoma; Glioma,0,,0
CYP11B2,K07433,2,CYP11B1-CYP11B2 fusion; CYP11B2 deficiency,2,Aldosterone synthase deficiency; Glucocorticoid-remediable aldosteronism (GRA),0,,0
CYP19A1,K07434,2,CYP19A1 (aromatase) deficiency; CYP19A1 (aromatase) gain-of-function variant,2,Aromatase excess syndrome; Aromatase deficiency,0,,0
ERG,K09435,2,EWSR1-ERG fusion; TMPRSS2-ERG fusion,2,Prostate cancer; Ewing sarcoma,0,,0
ESR1,K08550,2,ESR1 mutations; ESR1 positive,2,Breast cancer; Estrogen resistance syndrome,1,Elacestrant hydrochloride (USAN),0
F2,K01313,2,F2 mutation; Prothrombin 20210A,2,Inherited thrombophilia; Congenital prothrombin deficiency,0,,0
GCM2,K21598,2,GCM2 activating mutation; GCM2 inactivating mutation,2,Primary hyperparathyroidism; Hypoparathyroidism,0,,0
IGF1R,K05087,2,IGF1R mutation; IGF1R overexpression,2,Hepatocellular carcinoma; Growth hormone deficiency,0,,0
IKBKG,K07210,2,IKBKG mutation,2,"Osteoporosis, lymphedema, anhydrotic ectodermal dysplasia with immunodeficiency (OLEDAID); Incontinentia pigmenti",0,,0
KISS1R,K08374,2,KISS1R activating mutation; KISS1R inactivaing mutation,2,Hypogonadotropic hypogonadism; Precocious puberty,0,,0
KMT2A,K09186,2,MLL-AF4 fusion; MLL-ENL fusion,2,B-cell acute lymphoblastic leukemia; T-cell acute lymphoblastic leukemia,0,,0
LRP6,K03068,2,LRP6 mutation; LRP6 overexpression,2,Breast cancer; Tooth agenesis,0,,0
PAX8,K09293,2,PAX8 mutation; PAX8-PPARG fusion,2,Thyroid cancer; Congenital nongoitrous hypothyroidism (CHNG),0,,0
PIK3CA,K00922,2,PIK3CA amplification; PIK3CA mutation,2,Breast cancer; Hepatocellular carcinoma,1,Alpelisib (JAN/USAN/INN),0
SHH,K11988,2,SHH mutation,2,Holoprosencephaly; Microphthalmia,0,,0
SMAD2,K04500,2,SMAD2 mutation,2,Colorectal cancer; Loeys-Dietz syndrome,0,,0
TFE3,K09105,2,ASPL-TFE3 fusion; PRCC-TFE3 fusion,2,Renal cell carcinoma; Alveolar soft part sarcoma,0,,0
TSHR,K04249,2,TSHR activating mutation; TSHR inactivating mutation,2,Congenital nongoitrous hypothyroidism (CHNG); Congenital hyperthyroidism,0,,0
ADAR,K12968,1,ADAR mutation,2,Aicardi-Goutieres syndrome; Dyschromatosis symmetrica hereditaria,0,,0
AIP,K17767,1,AIP mutation,2,Pituitary adenomas; Cushing syndrome,0,,0
APC,K02085,1,APC mutation,2,Gastric cancer; Colorectal cancer,0,,0
ATM,K04728,1,ATM mutation,2,Chronic lymphocytic leukemia; Ataxia telangiectasia,0,,0
ATR,K06640,1,ATR mutation,2,Seckel syndrome; Familial cutaneous telangiectasia and cancer syndrome,0,,0
ATRX,K10779,1,ATRX mutation,2,ATR-X syndrome; X-linked intellectual disability-hypotonic facies syndrome,0,,0
B3GALT6,K00734,1,B3GALT6 mutation,2,"SEMD with joint laxity type; Ehlers-Danlos syndrome, spondylodysplastic type",0,,0
BMPR1A,K04673,1,BMPR1A mutation,2,Juvenile polyposis syndrome; Hereditary mixed polyposis syndrome,0,,0
BMPR1B,K13578,1,BMPR1B mutation,2,Brachydactyly; Acromesomelic dysplasia,0,,0
BRIP1,K15362,1,BRIP1 mutation,2,Breast cancer; Fanconi anemia,0,,0
BUB1,K02178,1,BUB1 mutation,2,Colorectal cancer; Primary microcephaly,0,,0
BUB1B,K06637,1,BUB1B mutation,2,Colorectal cancer; Mosaic variegated aneuploidy syndrome,0,,0
C1R,K01330,1,C1R mutation,2,Classic complement pathway component defects; Ehlers-Danlos syndrome periodontal type,0,,0
C1S,K01331,1,C1S mutation,2,Classic complement pathway component defects; Ehlers-Danlos syndrome periodontal type,0,,0
C2,K01332,1,C2 mutation,2,Classic complement pathway component defects; Age-related macular degeneration,0,,0
C9,K04000,1,C9 mutation,2,Late complement pathway defects; Age-related macular degeneration,0,,0
CASR,K04612,1,CASR mutation,2,Primary hyperparathyroidism; Neonatal hyperparathyroidism,0,,0
CBL,K04707,1,CBL mutation,2,CBL syndrome; Juvenile myelomonocytic leukemia,0,,0
CFHR1,K23815,1,CFHR1 mutation,2,Age-related macular degeneration; Atypical hemolytic uremic syndrome,0,,0
CFHR3,K23815,1,CFHR3 mutation,2,Age-related macular degeneration; Atypical hemolytic uremic syndrome,0,,0
DCLRE1C,K10887,1,ARTEMIS mutation,2,T-B-Severe combined immunodeficiency; Omenn syndrome,0,,0
DNA2,K10742,1,DNA2 mutation,2,Seckel syndrome; Progressive external ophthalmoplegia,0,,0
DNMT3B,K17399,1,DNMT3B mutation,2,Facioscapulohumeral muscular dystrophy; Immunodeficiency-centromeric instability-facial anomalies syndrome,0,,0
EBP,K01824,1,EBP deficiency,2,X-linked chondrodysplasia punctata; MEND syndrome,0,,0
ERCC8,K10570,1,ERCC8 mutation,2,Cockayne syndrome; UV-sensitive syndrome,0,,0
