variant_id,gene_symbol,gene_description,ko_id
2132v1,EXT2,exostosin glycosyltransferase 2,K02367
2137v1,EXTL3,exostosin like glycosyltransferase 3,K02370
2146v1,EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit,K11430
2147v1,F2,"coagulation factor II, thrombin",K01313
2147v2,F2,"coagulation factor II, thrombin",K01313
2153v1,F5,coagulation factor V,K03902
2153v2,F5,coagulation factor V,K03902
2155v1,F7,coagulation factor VII,K01320
2157v1,F8,coagulation factor VIII,K03899
2158v1,F9,coagulation factor IX,K01321
2159v1,F10,coagulation factor X,K01314
2160v1,F11,coagulation factor XI,K01323
2161v1,F12,coagulation factor XII,K01328
2162v1,F13A1,coagulation factor XIII A chain,K03917
2165v1,F13B,coagulation factor XIII B chain,K03906
2175v1,FANCA,FA complementation group A,K10888
2176v1,FANCC,FA complementation group C,K10890
2177v1,FANCD2,FA complementation group D2,K10891
2178v1,FANCE,FA complementation group E,K10892
2182v1,ACSL4,acyl-CoA synthetase long chain family member 4,K01897
2184v1,FAH,fumarylacetoacetate hydrolase,K01555
2187v1,FANCB,FA complementation group B,K10889
2188v1,FANCF,FA complementation group F,K10893
2189v1,FANCG,FA complementation group G,K10894
2200v1,FBN1,fibrillin 1,K06825
2218v1,FKTN,fukutin,K19872
2224v1,FDPS,farnesyl diphosphate synthase,K00787
2235v1,FECH,ferrochelatase,K01772
2243v1,FGA,fibrinogen alpha chain,K03903
2244v1,FGB,fibrinogen beta chain,K03904
2253v1,FGF8,fibroblast growth factor 8,K04358
2260v1,FGFR1,fibroblast growth factor receptor 1,K04362
2260v2,FGFR1,fibroblast growth factor receptor 1,K04362
2261v1,FGFR3,fibroblast growth factor receptor 3,K05094
2261v2,FGFR3,fibroblast growth factor receptor 3,K05094
2261v4,FGFR3,fibroblast growth factor receptor 3,K05094
2263v1,FGFR2,fibroblast growth factor receptor 2,K05093
2263v2,FGFR2,fibroblast growth factor receptor 2,K05093
2263v3,FGFR2,fibroblast growth factor receptor 2,K05093
2266v1,FGG,fibrinogen gamma chain,K03905
226v1,ALDOA,"aldolase, fructose-bisphosphate A",K01623
2271v1,FH,fumarate hydratase,K01679
22800v1,RRAS2,RAS related 2,K07830
22808v1,MRAS,muscle RAS oncogene homolog,K07831
22845v1,DOLK,dolichol kinase,K00902
22856v1,CHSY1,chondroitin sulfate synthase 1,K13499
22861v1,NLRP1,NLR family pyrin domain containing 1,K12798
22900v1,CARD8,caspase recruitment domain family member 8,K12801
22909v1,FAN1,FANCD2 and FANCI associated nuclease 1,K15363
22948v1,CCT5,chaperonin containing TCP1 subunit 5,K09497
2308v1,FOXO1,forkhead box O1,K07201
2313v1,FLI1,"Fli-1 proto-oncogene, ETS transcription factor",K09436
2322v1,FLT3,fms related receptor tyrosine kinase 3,K05092
2322v2,FLT3,fms related receptor tyrosine kinase 3,K05092
23310v1,NCAPD3,non-SMC condensin II complex subunit D3,K11491
23385v1,NCSTN,nicastrin,K06171
23397v1,NCAPH,non-SMC condensin I complex subunit H,K06676
23435v1,TARDBP,TAR DNA binding protein,K23600
23516v1,SLC39A14,solute carrier family 39 member 14,K14720
23556v1,PIGN,phosphatidylinositol glycan anchor biosynthesis class N,K05285
23586v1,RIGI,RNA sensor RIG-I,K12646
23594v1,ORC6,origin recognition complex subunit 6,K02608
23600v1,AMACR,alpha-methylacyl-CoA racemase,K01796
23600v2,AMACR,alpha-methylacyl-CoA racemase,K01796
238v1,ALK,ALK receptor tyrosine kinase,K05119
238v2,ALK,ALK receptor tyrosine kinase,K05119
24137v1,KIF4A,kinesin family member 4A,K10395
2475v1,MTOR,mechanistic target of rapamycin kinase,K07203
2488v1,FSHB,follicle stimulating hormone subunit beta,K05250
2495v1,FTH1,ferritin heavy chain 1,K00522
249v1,ALPL,"alkaline phosphatase, biomineralization associated",K01077
2512v1,FTL,ferritin light chain,K13625
