variant_id,gene_symbol,gene_description,ko_id
9091v1,PIGQ,phosphatidylinositol glycan anchor biosynthesis class Q,K03860
90v1,ACVR1,activin A receptor type 1,K04675
9101v1,USP8,ubiquitin specific peptidase 8,K11839
9126v1,SMC3,structural maintenance of chromosomes 3,K06669
91662v1,NLRP12,NLR family pyrin domain containing 12,K20865
91869v1,RFT1,RFT1 homolog,K06316
9210v1,BMP15,bone morphogenetic protein 15,K05498
9215v1,LARGE1,LARGE xylosyl- and glucuronyltransferase 1,K09668
9217v1,VAPB,VAMP associated protein B and C,K10707
92335v1,STRADA,STE20 related adaptor alpha,K08271
9241v1,NOG,noggin,K04658
9247v1,GCM2,glial cells missing transcription factor 2,K21598
9247v2,GCM2,glial cells missing transcription factor 2,K21598
93183v1,PIGM,phosphatidylinositol glycan anchor biosynthesis class M,K05284
9319v1,TRIP13,thyroid hormone receptor interactor 13,K22399
9394v1,HS6ST1,heparan sulfate 6-O-sulfotransferase 1,K02514
93v1,ACVR2B,activin A receptor type 2B,K13596
94005v1,PIGS,phosphatidylinositol glycan anchor biosynthesis class S,K05291
9401v1,RECQL4,RecQ like helicase 4,K10730
9420v1,CYP7B1,cytochrome P450 family 7 subfamily B member 1,K07430
9469v1,CHST3,carbohydrate sulfotransferase 3,K01020
9487v1,PIGL,phosphatidylinositol glycan anchor biosynthesis class L,K03434
9488v1,PIGB,phosphatidylinositol glycan anchor biosynthesis class B,K05286
94v1,ACVRL1,activin A receptor like type 1,K13594
9563v1,H6PD,hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase,K13937
966v1,CD59,CD59 molecule (CD59 blood group),K04008
9681v1,DEPDC5,"DEP domain containing 5, GATOR1 subcomplex subunit",K20404
9702v1,CEP57,centrosomal protein 57,K16762
9817v1,KEAP1,kelch like ECH associated protein 1,K10456
9837v1,GINS1,GINS complex subunit 1,K10732
990v1,CDC6,cell division cycle 6,K02213
9918v1,NCAPD2,non-SMC condensin I complex subunit D2,K06677
999v1,CDH1,cadherin 1,K05689
999v2,CDH1,cadherin 1,K05689
999v3,CDH1,cadherin 1,K05689
999v4,CDH1,cadherin 1,K05689
9v1,NAT1,N-acetyltransferase 1,K00622
