gene_symbol,gene_description,ko_id,variant_entry_count
GMNN,geminin DNA replication inhibitor,K10749,1
GNAS,GNAS complex locus,K04632,2
GNRH1,gonadotropin releasing hormone 1,K05252,1
GNRHR,gonadotropin releasing hormone receptor,K04280,1
GNS,glucosamine (N-acetyl)-6-sulfatase,K01137,1
GPAA1,glycosylphosphatidylinositol anchor attachment 1,K05289,1
GPHN,gephyrin,K15376,1
GPX1,glutathione peroxidase 1,K00432,1
GPX4,glutathione peroxidase 4,K05361,1
GREM2,"gremlin 2, DAN family BMP antagonist",K23318,1
GRM1,glutamate metabotropic receptor 1,K04603,1
GSR,glutathione-disulfide reductase,K00383,1
GSS,glutathione synthetase,K21456,1
GTF2H5,general transcription factor IIH subunit 5,K10845,1
GUSB,glucuronidase beta,K01195,1
GYG1,glycogenin 1,K00750,1
GYS1,glycogen synthase 1,K00693,1
GYS2,glycogen synthase 2,K00693,1
H6PD,hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase,K13937,1
HADH,hydroxyacyl-CoA dehydrogenase,K00022,1
HADHA,hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha,K07515,1
HADHB,hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta,K07509,1
HAMP,hepcidin antimicrobial peptide,K23106,1
HDAC8,histone deacetylase 8,K11405,1
HERC2,HECT and RLD domain containing E3 ubiquitin protein ligase 2,K10595,1
HES7,hes family bHLH transcription factor 7,K09087,1
HFE,homeostatic iron regulator,,1
HGD,"homogentisate 1,2-dioxygenase",K00451,1
HGF,hepatocyte growth factor,K05460,1
HGSNAT,heparan-alpha-glucosaminide N-acetyltransferase,K10532,1
HHAT,hedgehog acyltransferase,K24678,1
HIBCH,3-hydroxyisobutyryl-CoA hydrolase,K05605,1
HJV,hemojuvelin BMP co-receptor,K23100,1
HMBS,hydroxymethylbilane synthase,K01749,1
HMGCL,3-hydroxy-3-methylglutaryl-CoA lyase,K01640,1
HPD,4-hydroxyphenylpyruvate dioxygenase,K00457,1
HPRT1,hypoxanthine phosphoribosyltransferase 1,K00760,1
HRAS,"HRas proto-oncogene, GTPase",K02833,3
HS6ST1,heparan sulfate 6-O-sulfotransferase 1,K02514,1
HSD11B1,hydroxysteroid 11-beta dehydrogenase 1,K15680,1
HSD11B2,hydroxysteroid 11-beta dehydrogenase 2,K00071,1
HSD17B10,hydroxysteroid 17-beta dehydrogenase 10,K08683,1
HSD17B3,hydroxysteroid 17-beta dehydrogenase 3,K10207,1
HSD17B4,hydroxysteroid 17-beta dehydrogenase 4,K12405,1
HSD3B2,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2",K00070,1
HSD3B7,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7",K12408,1
HTT,huntingtin,K04533,1
HYAL1,hyaluronidase 1,K01197,1
IDH1,isocitrate dehydrogenase (NADP(+)) 1,K00031,1
IDH2,isocitrate dehydrogenase (NADP(+)) 2,K00031,2
IDS,iduronate 2-sulfatase,K01136,1
IDUA,alpha-L-iduronidase,K01217,1
IFIH1,interferon induced with helicase C domain 1,K12647,1
IFNAR2,interferon alpha and beta receptor subunit 2,K05131,1
IFNGR1,interferon gamma receptor 1,K05132,1
IFNGR2,interferon gamma receptor 2,K05133,1
IFNL3,interferon lambda 3,K22669,1
IGF1,insulin like growth factor 1,K05459,1
IGF1R,insulin like growth factor 1 receptor,K05087,2
IGF2,insulin like growth factor 2,K13769,1
IHH,Indian hedgehog signaling molecule,K11989,1
IKBKG,inhibitor of nuclear factor kappa B kinase regulatory subunit gamma,K07210,2
IL10RA,interleukin 10 receptor subunit alpha,K05134,1
IL10RB,interleukin 10 receptor subunit beta,K05135,1
IL12B,interleukin 12B,K05425,1
IL12RB1,interleukin 12 receptor subunit beta 1,K05063,1
IL23R,interleukin 23 receptor,K05065,1
IL2RB,interleukin 2 receptor subunit beta,K05069,1
IL2RG,interleukin 2 receptor subunit gamma,K05070,1
IL6R,interleukin 6 receptor,K05055,1
IL6ST,interleukin 6 cytokine family signal transducer,K05060,1
IL7R,interleukin 7 receptor,K05072,1
IRAK4,interleukin 1 receptor associated kinase 4,K04733,1
IRF3,interferon regulatory factor 3,K05411,1
IRF5,interferon regulatory factor 5,K09446,1
IRF7,interferon regulatory factor 7,K09447,1
IRF9,interferon regulatory factor 9,K04693,1
IRGM,immunity related GTPase M,K14139,1
ITPR1,"inositol 1,4,5-trisphosphate receptor type 1",K04958,2
IVD,isovaleryl-CoA dehydrogenase,K00253,1
IYD,iodotyrosine deiodinase,K17231,1
JAG1,jagged canonical Notch ligand 1,K06052,1
JAK1,Janus kinase 1,K11217,1
JAK2,Janus kinase 2,K04447,1
JAK3,Janus kinase 3,K11218,1
KCNC3,potassium voltage-gated channel subfamily C member 3,K04889,1
KCND3,potassium voltage-gated channel subfamily D member 3,K04893,1
KCNJ5,potassium inwardly rectifying channel subfamily J member 5,K04999,1
KEAP1,kelch like ECH associated protein 1,K10456,1
KIF2A,kinesin family member 2A,K10393,1
KIF4A,kinesin family member 4A,K10395,1
KIF7,kinesin family member 7,K18806,1
KISS1,KiSS-1 metastasis suppressor,K23140,1
KISS1R,KISS1 receptor,K08374,2
KIT,"KIT proto-oncogene, receptor tyrosine kinase",K05091,1
KLKB1,kallikrein B1,K01324,1
KMT2A,lysine methyltransferase 2A,K09186,2
KNG1,kininogen 1,K03898,1
KNL1,kinetochore scaffold 1,K11542,1
KNSTRN,kinetochore localized astrin (SPAG5) binding protein,K26097,1
KRAS,"KRAS proto-oncogene, GTPase",K07827,2
LARGE1,LARGE xylosyl- and glucuronyltransferase 1,K09668,1
LBR,lamin B receptor,K19532,1
LDHA,lactate dehydrogenase A,K00016,1
LDLR,low density lipoprotein receptor,K12473,1
LDLRAP1,low density lipoprotein receptor adaptor protein 1,K12474,1
LFNG,LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase,K05948,1
LGR4,leucine rich repeat containing G protein-coupled receptor 4,K04309,1
LHCGR,luteinizing hormone/choriogonadotropin receptor,K04248,1
LIG1,DNA ligase 1,K10747,1
LIG3,DNA ligase 3,K10776,1
LIG4,DNA ligase 4,K10777,1
LIPA,"lipase A, lysosomal acid type",K01052,1
LMNA,lamin A/C,K12641,1
LMO2,LIM domain only 2,K15612,1
LPL,lipoprotein lipase,K01059,1
LRP2,LDL receptor related protein 2,K06233,1
LRP4,LDL receptor related protein 4,K20051,1
LRP5,LDL receptor related protein 5,K03068,1
LRP6,LDL receptor related protein 6,K03068,2
LRRK2,leucine rich repeat kinase 2,K08844,1
LSS,lanosterol synthase,K01852,1
LTBP3,latent transforming growth factor beta binding protein 3,K08023,1
LZTR1,leucine zipper like post translational regulator 1,K23330,1
MAD1L1,mitotic arrest deficient 1 like 1,K06679,1
MAD2L2,mitotic arrest deficient 2 like 2,K13728,1
MAF,MAF bZIP transcription factor,K09035,1
MAN2B1,mannosidase alpha class 2B member 1,K12311,1
MAOA,monoamine oxidase A,K00274,1
MAP2K1,mitogen-activated protein kinase kinase 1,K04368,1
MAP2K2,mitogen-activated protein kinase kinase 2,K04369,1
MAP3K20,mitogen-activated protein kinase kinase kinase 20,K04424,1
MAPK1,mitogen-activated protein kinase 1,K04371,1
MASP1,MBL associated serine protease 1,K03992,1
MASP2,MBL associated serine protease 2,K03993,1
MAX,MYC associated factor X,K04453,1
MBD4,"methyl-CpG binding domain 4, DNA glycosylase",K10801,1
MBL2,mannose binding lectin 2,K03991,1
MC2R,melanocortin 2 receptor,K04200,1
MCCC1,methylcrotonyl-CoA carboxylase subunit 1,K01968,1
MCCC2,methylcrotonyl-CoA carboxylase subunit 2,K01969,1
MCEE,methylmalonyl-CoA epimerase,K05606,1
MCIDAS,multiciliate differentiation and DNA synthesis associated cell cycle protein,K26119,1
MCM10,minichromosome maintenance 10 replication initiation factor,K10736,1
MCM2,minichromosome maintenance complex component 2,K02540,1
MCM4,minichromosome maintenance complex component 4,K02212,1
MCM5,minichromosome maintenance complex component 5,K02209,1
MCM8,minichromosome maintenance 8 homologous recombination repair factor,K10737,1
MCM9,minichromosome maintenance 9 homologous recombination repair factor,K10738,1
MCPH1,microcephalin 1,K19403,1
MDM2,MDM2 proto-oncogene,K06643,1
MECOM,MDS1 and EVI1 complex locus,K04462,1
MEFV,"MEFV innate immunity regulator, pyrin",K12803,1
MEN1,menin 1,K14970,1
MESP2,mesoderm posterior bHLH transcription factor 2,K09076,1
MET,"MET proto-oncogene, receptor tyrosine kinase",K05099,4
MGAT2,"alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",K00736,1
MIB1,MIB E3 ubiquitin protein ligase 1,K10645,1
MLH1,mutL homolog 1,K08734,1
MLH3,mutL homolog 3,K08739,1
MLLT1,MLLT1 super elongation complex subunit,K15187,1
MMUT,methylmalonyl-CoA mutase,K01847,1
